Fund House,Scheme Type,Scheme Category,Scheme Code,Scheme Name,NAV,Date
Bank of India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,110604,BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Quarterly IDCW,28.09,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,110606,BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan-Bonus,91.06,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,110607,BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan- Regular IDCW,27.18,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,110608,BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Regular IDCW,27.88,14-10-2024
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund with 10 year constant duration,111343,BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Weekly IDCW,10.2022,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111521,Aditya Birla Sun Life Dynamic Bond Fund -REGULAR - MONTHLY IDCW,10.6558,14-10-2024
Bandhan Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111523,BANDHAN Dynamic Bond Fund - Regular Plan B - IDCW,12.5845,14-10-2024
Bandhan Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111524,BANDHAN Dynamic Bond Fund - Regular Plan B - Growth,32.9124,14-10-2024
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,111525,BANDHAN Government Securities Fund - IP - Regular Plan - Growth,34.0875,14-10-2024
Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,111527,BANDHAN Government Securities Fund - IP - Regular Plan - IDCW,12.846,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Floater Fund,111545,ICICI Prudential Floating Interest Fund - Weekly IDCW,102.4984,14-10-2024
Quantum Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,131.88,14-10-2024
Quantum Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111550,Quantum ELSS Tax Saver Fund - Direct Plan IDCW,131.88,14-10-2024
Bandhan Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111569,BANDHAN ELSS Tax Saver Fund - Regular Plan - Growth,156.993,14-10-2024
Bandhan Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111570,BANDHAN ELSS Tax Saver Fund - Regular Plan - IDCW,36.376,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,111585,BANK OF INDIA Short Term Income Fund-Regular Plan- Growth,24.9485,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,111589,BANK OF INDIA Short Term Income Fund-Regular Plan- Monthly IDCW,12.8022,14-10-2024
Bank of India Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,111590,BANK OF INDIA Short Term Income Fund-Regular Plan- Quarterly IDCW,12.616,14-10-2024
UTI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,111599,UTI Multi Asset Allocation Fund - Regular Plan - Growth Option,73.6176,14-10-2024
UTI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,111602,UTI Multi Asset Allocation Fund - Regular Plan - IDCW,29.2772,14-10-2024
Edelweiss Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111638,Edelweiss ELSS Tax Saver Fund - Regular Plan - Growth Option,113.82,14-10-2024
Edelweiss Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111639,Edelweiss ELSS Tax Saver Fund - Regular Plan - IDCW Option,30.46,14-10-2024
Taurus Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111640,Taurus Flexi Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,115.91,14-10-2024
Taurus Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,111642,Taurus Mid Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,113.85,14-10-2024
Mirae Asset Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111644,Mirae Asset Liquid Fund - Regular Plan - Weekly IDCW,1153.6057,14-10-2024
Mirae Asset Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111645,Mirae Asset Liquid Fund - Regular Plan - Monthly IDCW,1156.9422,14-10-2024
Mirae Asset Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111646,Mirae Asset Liquid Fund - Regular Plan - Growth,2607.8467,14-10-2024
Mirae Asset Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111647,Mirae Asset Liquid Fund - Regular - Daily IDCW,1066.4347,14-10-2024
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111675,LIC MF Low Duration Fund-Regular Plan-Weekly IDCW,12.907,14-10-2024
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,111676,LIC MF Low Duration Fund-Regular Plan-Daily IDCW,10.6756,14-10-2024
Baroda BNP Paribas Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,111704,Baroda BNP Paribas LIQUID FUND - Regular Plan - GROWTH OPTION,2860.613,14-10-2024
