Code,Scheme Name,NAV,ISIN Div Payout,ISIN Growth,ISIN Div Reinvestment
139260,JM Liquid Fund Unclaimed Dividend IEF (Direct) Growth Plan,41.44370,INF192K01LD6,N/A,N/A
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,108.17320,INF209KA1LK7INF209K01KY6,N/A,N/A
100078,DSP Bond Fund - Growth,77.37990,INF740K01557,N/A,N/A
135976,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01OY5,N/A,N/A
134961,JM Large Cap Fund (Regular) - Annual IDCW,30.49450,INF192K01JS8INF192K01JT6,N/A,N/A
134868,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01AD8,N/A,N/A
100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,186.77640,INF767K01030,N/A,N/A
119647,Aditya Birla Sun Life MNC Fund - DIRECT - IDCW,472.00000,INF209K01Q06INF209K01VU1,N/A,N/A
100120,HDFC Balanced Advantage Fund - IDCW Plan,39.20300,INF179K01814INF179K01822,N/A,N/A
120490,JM Large Cap Fund (Direct) - Growth Option,172.84780,INF192K01BZ0,N/A,N/A
118969,HDFC Balanced Advantage Fund - IDCW Plan - Direct Plan,45.25600,INF179K01VY8INF179K01VZ5,N/A,N/A
100316,LIC MF Gilt Fund-Regular Plan-IDCW,16.50120,INF767K01683INF767K01691,N/A,N/A
,,N/A,,N/A,N/A
100332,LIC MF Large Cap Fund-Regular Plan-IDCW,31.86420,INF767K01097INF767K01089,N/A,N/A
,,N/A,,N/A,N/A
133404,JM Aggressive Hybrid Fund (Regular) - Monthly IDCW,87.68090,INF192K01HL7INF192K01HM5,N/A,N/A
,,N/A,,N/A,N/A
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,96.47470,INF767K01071,N/A,N/A
100234,JM Liquid Fund - Growth Option,68.27180,INF192K01882,N/A,N/A
,,N/A,,N/A,N/A
133446,Aditya Birla Sun Life Income Fund - Direct - IDCW,12.79150,INF209KA1WL2INF209KA1WM0,N/A,N/A
100176,quant Small Cap Fund - IDCW Option - Regular Plan,204.47340,INF206A01022INF966L01044,N/A,N/A
111777,Aditya Birla Sun Life Income Fund (Discipline Advantage Plan),30.01540,INF209K01LD8,N/A,N/A
100119,HDFC Balanced Advantage Fund - Growth Plan,492.36300,INF179K01830,N/A,N/A
134659,JM G-Sec Fund - Annual Dividend Option,28.23900,INF192K01KG1INF192K01KH9,N/A,N/A
135981,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01OU3,N/A,N/A
,,N/A,,N/A,N/A
120486,JM Value Fund (Direct) - Growth Option,109.93470,INF192K01BT3,N/A,N/A
135983,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01PA2,N/A,N/A
100085,DSP Gilt Fund - Regular Plan - IDCW,12.18140,INF740K01607INF740K01AD5,N/A,N/A
120267,LIC MF Large Cap Fund-Direct Plan-Growth,59.51650,INF767K01EJ7,N/A,N/A
139257,JM Liquid Fund Unclaimed Redemption (Direct) Growth Plan,57.82300,INF192K01LA2,N/A,N/A
134662,JM G-Sec Fund - (Direct) Annual Dividend Option,29.77140,INF192K01KI7INF192K01KJ5,N/A,N/A
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,108.02300,INF209K01KN9,N/A,N/A
,,N/A,,N/A,N/A
,,N/A,,N/A,N/A
119108,DSP Savings Fund - Direct Plan - IDCW,12.29160,INF740K01NV0INF740K01NX6,N/A,N/A
133410,JM Aggressive Hybrid Fund (Regular) - Quarterly Bonus Option - Principal Units,124.45260,INF192K01HX2,N/A,N/A
